Genome Cluster ID,Number of Non-redundant Genomes
Cluster_2034,5
Cluster_2035,1
Cluster_2036,1
Cluster_2037,9
Cluster_2038,51
Cluster_2039,161
Cluster_204,360
Cluster_2040,336
Cluster_2041,183
Cluster_2042,16
Cluster_2043,49
Cluster_2044,55
Cluster_2045,2
Cluster_2046,3
Cluster_2047,1
Cluster_2048,39
Cluster_2049,10
Cluster_205,1
Cluster_2050,5
Cluster_2051,1
Cluster_2052,1
Cluster_2053,1
Cluster_2054,1
Cluster_2055,6
Cluster_2056,17
Cluster_2057,1
Cluster_2058,2
Cluster_2059,4
Cluster_206,1
Cluster_2060,38
Cluster_2061,2
Cluster_2062,12
Cluster_2063,14
Cluster_2064,3
Cluster_2065,1
Cluster_2066,2
Cluster_2067,1
Cluster_2068,1012
Cluster_2069,2
Cluster_207,7
Cluster_2070,2
Cluster_2071,692
Cluster_2072,126
Cluster_2073,3
Cluster_2074,17
Cluster_2075,40
Cluster_2076,4
Cluster_2077,7
Cluster_2078,1
Cluster_2079,2
Cluster_208,1
Cluster_2080,13
Cluster_2081,3
Cluster_2082,2
Cluster_2083,4
Cluster_2084,70
Cluster_2085,1
Cluster_2086,1
Cluster_2087,43
Cluster_2088,2
Cluster_2089,2
Cluster_209,31
Cluster_2090,1
Cluster_2091,2
Cluster_2092,1
Cluster_2093,1
Cluster_2094,11
Cluster_2095,1
Cluster_2096,5
Cluster_2097,3
Cluster_2098,8
Cluster_2099,2
Cluster_21,166
Cluster_210,21
Cluster_2100,1
Cluster_2101,2
Cluster_2102,1
Cluster_2103,33
Cluster_2104,34
Cluster_2105,6
Cluster_2106,1
Cluster_2107,1
Cluster_2108,1
Cluster_2109,3
Cluster_211,1
Cluster_2110,1
Cluster_2111,1
Cluster_2112,1
Cluster_2113,8
Cluster_2114,1
Cluster_2115,22
Cluster_2116,1
Cluster_2117,1
Cluster_2118,2
Cluster_2119,1
Cluster_212,2278
Cluster_2120,1
Cluster_2121,2
Cluster_2122,3
Cluster_2123,2
Cluster_2124,1
Cluster_2125,1
Cluster_2126,1
Cluster_2127,1
Cluster_2128,2
Cluster_2129,1
Cluster_213,1
Cluster_2130,1
Cluster_2131,2
Cluster_2132,4
Cluster_2133,43
Cluster_2134,25
Cluster_2135,1
Cluster_2136,1
Cluster_2137,1
Cluster_2138,1
Cluster_2139,1
Cluster_214,27
Cluster_2140,1
Cluster_2141,2
Cluster_2142,2
Cluster_2143,2
Cluster_2144,1
Cluster_2145,2
Cluster_2146,1
Cluster_2147,1
Cluster_2148,5
Cluster_2149,3
Cluster_215,1
Cluster_2150,2
Cluster_2151,1
Cluster_2152,1
Cluster_2153,327
Cluster_2154,2
Cluster_2155,1
Cluster_2156,5
Cluster_2157,2
Cluster_2158,9
Cluster_2159,2
Cluster_216,44
Cluster_2160,15
Cluster_2161,1
Cluster_2162,1
Cluster_2163,3
Cluster_2164,1
Cluster_2165,3
Cluster_2166,13
Cluster_2167,1
Cluster_2168,3
Cluster_2169,138
Cluster_217,83
Cluster_2170,2
Cluster_2171,1
Cluster_2172,1
Cluster_2173,4
Cluster_2174,5
Cluster_2175,5
Cluster_2176,2
Cluster_2177,4
Cluster_2178,1
Cluster_2179,1
Cluster_218,2
Cluster_2180,1
Cluster_2181,1
Cluster_2182,1
Cluster_2183,1
Cluster_2184,2
Cluster_2185,1
Cluster_2186,1
Cluster_2187,15
Cluster_2188,2
Cluster_2189,1182
Cluster_219,4
Cluster_2190,1
Cluster_2191,1
Cluster_2192,1
Cluster_2193,6
Cluster_2194,7
Cluster_2195,1
Cluster_2196,377
Cluster_2197,2
Cluster_2198,3
Cluster_2199,75
Cluster_22,2
Cluster_220,1
Cluster_2200,2
Cluster_2201,3
Cluster_2202,3
Cluster_2203,7
Cluster_2204,4
Cluster_2205,5
Cluster_2206,14
Cluster_2207,37
Cluster_2208,117
Cluster_2209,65
Cluster_221,1
Cluster_2210,3
Cluster_2211,6
Cluster_2212,2
Cluster_2213,9
Cluster_2214,71
Cluster_2215,1
Cluster_2216,4
Cluster_2217,1
Cluster_2218,2
Cluster_2219,6
Cluster_222,1
Cluster_2220,3
Cluster_2221,1
Cluster_2222,81
Cluster_2223,14
Cluster_2224,66
Cluster_2225,5
Cluster_2226,3
Cluster_2227,3
Cluster_2228,14
Cluster_2229,1
Cluster_223,5
Cluster_2230,4
Cluster_2231,2
Cluster_2232,3
Cluster_2233,1
Cluster_2234,1
Cluster_2235,1
Cluster_2236,1
Cluster_2237,2
Cluster_2238,1
Cluster_2239,11
Cluster_224,1
Cluster_2240,1
Cluster_2241,1
Cluster_2242,1
Cluster_2243,1
Cluster_2244,2
Cluster_2245,1
Cluster_2246,1
Cluster_2247,1
Cluster_2248,1
Cluster_2249,5
Cluster_225,32
Cluster_2250,3
Cluster_2251,62
Cluster_2252,294
Cluster_2253,34
Cluster_2254,52
Cluster_2255,1
Cluster_2256,1
Cluster_2257,1
Cluster_2258,4
Cluster_2259,5
Cluster_226,67
Cluster_2260,1
Cluster_2261,1
Cluster_2262,79
Cluster_2263,1
Cluster_2264,3513
Cluster_2265,1
Cluster_2266,146
Cluster_2267,5
Cluster_2268,2
Cluster_2269,13
Cluster_227,3
Cluster_2270,1
Cluster_2271,1
Cluster_2272,4
Cluster_2273,20
Cluster_2274,15
Cluster_2275,17
Cluster_2276,16
Cluster_2277,4
Cluster_2278,4
Cluster_2279,1
Cluster_228,10
Cluster_2280,10
Cluster_2281,2
Cluster_2282,15
Cluster_2283,4
Cluster_2284,1
Cluster_2285,1
Cluster_2286,1
Cluster_2287,3
Cluster_2288,1
Cluster_2289,187
Cluster_229,1
Cluster_2290,163
Cluster_2291,1
Cluster_2292,77
Cluster_2293,125
Cluster_2294,1
Cluster_2295,294
Cluster_2296,1
Cluster_2297,1
Cluster_2298,4
Cluster_2299,10
Cluster_23,3
Cluster_230,100
Cluster_2300,377
Cluster_2301,9
Cluster_2302,5
Cluster_2303,4
Cluster_2304,10
Cluster_2305,1
Cluster_2306,2
Cluster_2307,82
Cluster_2308,2
Cluster_2309,4
Cluster_231,48
Cluster_2310,1
Cluster_2311,2
Cluster_2312,30
Cluster_2313,3
Cluster_2314,1
Cluster_2315,36
Cluster_2316,18
Cluster_2317,2
Cluster_2318,1
Cluster_2319,1
Cluster_232,1
Cluster_2320,1
Cluster_2321,1
Cluster_2322,3
Cluster_2323,344
Cluster_2324,1
Cluster_2325,1
Cluster_2326,1
Cluster_2327,2
Cluster_2328,24
Cluster_2329,8
Cluster_233,5219
Cluster_2330,1
Cluster_2331,4
Cluster_2332,2
Cluster_2333,2
Cluster_2334,1
Cluster_2335,2
Cluster_2336,10
Cluster_2337,33
Cluster_2338,4
Cluster_2339,251
Cluster_234,26
Cluster_2340,19
Cluster_2341,134
Cluster_2342,1
Cluster_2343,1
Cluster_2344,1
Cluster_2345,1
Cluster_2346,1
Cluster_2347,7
Cluster_2348,19
Cluster_2349,7
Cluster_235,2819
Cluster_2350,1
Cluster_2351,2
Cluster_2352,2
Cluster_2353,5
Cluster_2354,1
Cluster_2355,1
Cluster_2356,1
Cluster_2357,7
Cluster_2358,2
Cluster_2359,1
Cluster_236,148
Cluster_2360,1
Cluster_2361,1
Cluster_2362,3
Cluster_2363,2
Cluster_2364,200
Cluster_2365,13
Cluster_2366,123
Cluster_2367,250
Cluster_2368,2
Cluster_2369,4
Cluster_237,514
Cluster_2370,1
Cluster_2371,1
Cluster_2372,9
Cluster_2373,4
Cluster_2374,9
Cluster_2375,7
Cluster_2376,25
Cluster_2377,1
Cluster_2378,4
Cluster_2379,1
Cluster_238,1081
Cluster_2380,1
Cluster_2381,1
Cluster_2382,2
Cluster_2383,1
Cluster_2384,24
Cluster_2385,29
Cluster_2386,8
Cluster_2387,2
Cluster_2388,3
Cluster_2389,1
Cluster_239,635
Cluster_2390,1
Cluster_2391,4
Cluster_2392,4
Cluster_2393,1
Cluster_2394,1
Cluster_2395,1
Cluster_2396,2
Cluster_2397,1
Cluster_2398,1
Cluster_2399,2
Cluster_24,856
Cluster_240,40
Cluster_2400,713
Cluster_2401,12
Cluster_2402,179
Cluster_2403,1
Cluster_2404,2
Cluster_2405,10
Cluster_2406,2
Cluster_2407,22
Cluster_2408,1
Cluster_2409,1
Cluster_241,22
Cluster_2410,1
Cluster_2411,4
Cluster_2412,4
Cluster_2413,30
Cluster_2414,1
Cluster_2415,1
Cluster_2416,5
Cluster_2417,28
Cluster_2418,1
Cluster_2419,12
Cluster_242,951
Cluster_2420,1
Cluster_2421,1
Cluster_2422,1
Cluster_2423,3
Cluster_2424,3
Cluster_2425,2
Cluster_2426,3
Cluster_2427,2
Cluster_2428,1
Cluster_2429,2
Cluster_243,5443
Cluster_2430,19
Cluster_2431,302
Cluster_2432,2
Cluster_2433,1
Cluster_2434,1
Cluster_2435,1
Cluster_2436,2
Cluster_2437,3
Cluster_2438,2
Cluster_2439,2
Cluster_244,14
Cluster_2440,2
Cluster_2441,1
Cluster_2442,3
Cluster_2443,20
Cluster_2444,1
Cluster_2445,1
Cluster_2446,1
Cluster_2447,9
Cluster_2448,30
Cluster_2449,1
Cluster_245,7
Cluster_2450,1
Cluster_2451,1
Cluster_2452,1
Cluster_2453,3
Cluster_2454,3
Cluster_2455,1
Cluster_2456,1
Cluster_2457,3
Cluster_2458,2
Cluster_2459,2
Cluster_246,6398
Cluster_2460,2
Cluster_2461,2
Cluster_2462,1
Cluster_2463,3
Cluster_2464,5
Cluster_2465,1
Cluster_2466,42
Cluster_2467,3
Cluster_2468,1
Cluster_2469,4
Cluster_247,1
Cluster_2470,11
Cluster_2471,9
Cluster_2472,8
Cluster_2473,6
Cluster_2474,2
Cluster_2475,6
Cluster_2476,3
Cluster_2477,1
Cluster_2478,15
Cluster_2479,1
Cluster_248,391
Cluster_2480,2
Cluster_2481,2
Cluster_2482,1
Cluster_2483,10
Cluster_2484,1
Cluster_2485,1
Cluster_2486,9
Cluster_2487,1
Cluster_2488,2
Cluster_2489,3
Cluster_249,1848
Cluster_2490,1
Cluster_2491,26
Cluster_2492,2
Cluster_2493,2
Cluster_2494,2
Cluster_2495,10
Cluster_2496,28
Cluster_2497,1
Cluster_2498,1
Cluster_2499,5
Cluster_25,1
Cluster_250,12
Cluster_2500,34
Cluster_2501,150
Cluster_2502,2
Cluster_2503,4
Cluster_2504,2
Cluster_2505,1
Cluster_2506,67
Cluster_2507,1
Cluster_2508,4
Cluster_2509,10
Cluster_251,145
Cluster_2510,1
Cluster_2511,1
Cluster_2512,2
Cluster_2513,1
Cluster_2514,2
Cluster_2515,1
Cluster_2516,1
Cluster_2517,2
Cluster_2518,1
Cluster_2519,1
Cluster_252,1
Cluster_2520,1
Cluster_2521,1
Cluster_2522,1
Cluster_2523,1
Cluster_2524,4
Cluster_2525,2
Cluster_2526,45
Cluster_2527,1
Cluster_2528,7
Cluster_2529,3
Cluster_253,5
Cluster_2530,1
Cluster_2531,2
Cluster_2532,2
Cluster_2533,2
Cluster_2534,1
Cluster_2535,2
Cluster_2536,20
Cluster_2537,1
Cluster_2538,1
Cluster_2539,2
Cluster_254,14
Cluster_2540,2
Cluster_2541,61
Cluster_2542,5
Cluster_2543,66
Cluster_2544,10
Cluster_2545,23
Cluster_2546,2
Cluster_2547,2
Cluster_2548,1
Cluster_2549,21
Cluster_255,39
Cluster_2550,13
Cluster_2551,8
Cluster_2552,6
Cluster_2553,2
Cluster_2554,2
Cluster_2555,1
Cluster_2556,1
Cluster_2557,6
Cluster_2558,1
Cluster_2559,3
Cluster_256,47
Cluster_2560,180
Cluster_2561,27
Cluster_2562,5
Cluster_2563,24
Cluster_2564,1
Cluster_2565,1
Cluster_2566,1
Cluster_2567,1
Cluster_2568,1
Cluster_2569,1
Cluster_257,2
Cluster_2570,285
Cluster_2571,11
Cluster_2572,2
Cluster_2573,1
Cluster_2574,1
Cluster_2575,2
Cluster_2576,17
Cluster_2577,5
Cluster_2578,1
Cluster_2579,8
Cluster_258,1
Cluster_2580,1
Cluster_2581,2
Cluster_2582,2
Cluster_2583,5
Cluster_2584,60
Cluster_2585,156
Cluster_2586,2
Cluster_2587,1
Cluster_2588,1
Cluster_2589,59
Cluster_259,989
Cluster_2590,2
Cluster_2591,4
Cluster_2592,1
Cluster_2593,1
Cluster_2594,21
Cluster_2595,1
Cluster_2596,1
Cluster_2597,2
Cluster_2598,1
Cluster_2599,1
Cluster_26,57
Cluster_260,24
Cluster_2600,1
Cluster_2601,1
Cluster_2602,1
Cluster_2603,1
Cluster_2604,1
Cluster_2605,1
Cluster_2606,1
Cluster_2607,1
Cluster_2608,1
Cluster_2609,1
Cluster_261,197
Cluster_2610,1
Cluster_2611,1
Cluster_2612,1
Cluster_2613,1
Cluster_2614,1
Cluster_2615,2
Cluster_2616,1
Cluster_2617,2
Cluster_2618,1
Cluster_2619,1
Cluster_262,34
Cluster_2620,1
Cluster_2621,1
Cluster_2622,1
Cluster_2623,1
Cluster_2624,1
Cluster_2625,1
Cluster_2626,1
Cluster_2627,1
Cluster_2628,1
Cluster_2629,1
Cluster_263,45
Cluster_2630,1
Cluster_2631,1
Cluster_2632,1
Cluster_2633,1
Cluster_2634,1
Cluster_2635,1
Cluster_2636,3
Cluster_2637,3
Cluster_2638,3
Cluster_2639,1
Cluster_264,251
Cluster_2640,1
Cluster_2641,4
Cluster_2642,1
Cluster_2643,1
Cluster_2644,1
Cluster_2645,1
Cluster_2646,3
Cluster_2647,5
Cluster_2648,1
Cluster_2649,4
Cluster_265,655
Cluster_2650,1
Cluster_2651,1
Cluster_2652,1
Cluster_2653,1
Cluster_2654,1
Cluster_2655,1
Cluster_2656,1
Cluster_2657,1
Cluster_2658,1
Cluster_2659,1
Cluster_266,1
Cluster_2660,1
Cluster_2661,1
Cluster_2662,1
Cluster_2663,1
Cluster_2664,1
Cluster_2665,1
Cluster_2666,1
Cluster_2667,1
Cluster_2668,1
Cluster_2669,1
Cluster_267,861
Cluster_2670,1
Cluster_2671,1
Cluster_2672,1
Cluster_2673,1
Cluster_2674,1
Cluster_2675,1
Cluster_2676,1
Cluster_2677,1
Cluster_2678,1
Cluster_2679,1
Cluster_268,265
Cluster_2680,1
Cluster_2681,2
Cluster_2682,1
Cluster_2683,2
Cluster_2684,1
Cluster_2685,1
Cluster_2686,1
Cluster_2687,1
Cluster_2688,1
Cluster_2689,1
Cluster_269,2008
Cluster_2690,1
Cluster_2691,1
Cluster_2692,1
Cluster_2693,1
Cluster_2694,1
Cluster_2695,1
Cluster_2696,8
Cluster_2697,3
Cluster_2698,1
Cluster_2699,2
Cluster_27,1
Cluster_270,1
Cluster_2700,4
Cluster_2701,1
Cluster_2702,1
Cluster_2703,1
Cluster_2704,3
Cluster_2705,1
Cluster_2706,1
Cluster_2707,1
Cluster_2708,1
Cluster_2709,1
Cluster_271,4
Cluster_2710,1
Cluster_2711,1
Cluster_2712,1
Cluster_2713,1
Cluster_2714,1
Cluster_2715,1
Cluster_2716,1
Cluster_2717,4
Cluster_2718,1
Cluster_2719,1
Cluster_272,59
Cluster_2720,1
Cluster_2721,1
Cluster_2722,1
Cluster_2723,1
Cluster_2724,4
Cluster_2725,3
Cluster_2726,12
Cluster_2727,57
Cluster_2728,3
Cluster_2729,1
Cluster_273,161
Cluster_2730,2
Cluster_2731,2
Cluster_2732,1
Cluster_2733,2
Cluster_2734,1
Cluster_2735,3
Cluster_2736,1
Cluster_2737,1
Cluster_2738,12
Cluster_2739,1
Cluster_274,4
Cluster_2740,1
Cluster_2741,1
Cluster_2742,1
Cluster_2743,2
Cluster_2744,3
Cluster_2745,1
Cluster_2746,1
Cluster_2747,1
Cluster_2748,5
Cluster_2749,1
Cluster_275,10
Cluster_2750,1
Cluster_2751,1
Cluster_2752,2
Cluster_2753,3
Cluster_2754,1
Cluster_2755,2
Cluster_2756,3
Cluster_2757,20
Cluster_2758,4
Cluster_2759,1
Cluster_276,1
Cluster_2760,2
Cluster_2761,1
Cluster_2762,4
Cluster_2763,25
Cluster_2764,2
Cluster_2765,3
Cluster_2766,1
Cluster_2767,6
Cluster_2768,1
Cluster_2769,1
Cluster_277,17
Cluster_2770,9
Cluster_2771,9
Cluster_2772,273
Cluster_2773,2
Cluster_2774,3
Cluster_2775,24
Cluster_2776,1
Cluster_2777,1
Cluster_2778,1
Cluster_2779,7
Cluster_278,77
Cluster_2780,154
Cluster_2781,1
Cluster_2782,1
Cluster_2783,1
Cluster_2784,1
Cluster_2785,1
Cluster_2786,1
Cluster_2787,5
Cluster_2788,14
Cluster_2789,10
Cluster_279,18
Cluster_2790,1
Cluster_2791,3
Cluster_2792,4
Cluster_2793,1
Cluster_2794,3
Cluster_2795,57
Cluster_2796,2
Cluster_2797,13
Cluster_2798,2
Cluster_2799,3
Cluster_28,125
Cluster_280,10
Cluster_2800,4
Cluster_2801,1
Cluster_2802,1
Cluster_2803,1
Cluster_2804,1
Cluster_2805,2
Cluster_2806,2
Cluster_2807,10
Cluster_2808,1
Cluster_2809,5
Cluster_281,305
Cluster_2810,1
Cluster_2811,5
Cluster_2812,31
Cluster_2813,4
Cluster_2814,3
Cluster_2815,1
Cluster_2816,20
Cluster_2817,9
Cluster_2818,2
Cluster_2819,2
Cluster_282,769
Cluster_2820,7
Cluster_2821,2
Cluster_2822,5
Cluster_2823,1
Cluster_2824,2
Cluster_2825,2
Cluster_2826,2
Cluster_2827,47
Cluster_2828,2
Cluster_2829,1
Cluster_283,302
Cluster_2830,2
Cluster_2831,2
Cluster_2832,1
Cluster_2833,7
Cluster_2834,11
Cluster_2835,1
Cluster_2836,6
Cluster_2837,2
Cluster_2838,2
Cluster_2839,1
Cluster_284,1456
Cluster_2840,1
Cluster_2841,2
Cluster_2842,4
Cluster_2843,2
Cluster_2844,2
Cluster_2845,5
Cluster_2846,2
Cluster_2847,1
Cluster_2848,7
Cluster_2849,1
Cluster_285,81
Cluster_2850,1
Cluster_2851,3
Cluster_2852,1
Cluster_2853,5
Cluster_2854,24
Cluster_2855,1
Cluster_2856,1
Cluster_2857,1
Cluster_2858,1
Cluster_2859,302
Cluster_286,112
Cluster_2860,647
Cluster_2861,3
Cluster_2862,4
Cluster_2863,39
Cluster_2864,1
Cluster_2865,3
Cluster_2866,3
Cluster_2867,15
Cluster_2868,4
Cluster_2869,4
Cluster_287,13
Cluster_2870,1
Cluster_2871,2
Cluster_2872,6
Cluster_2873,1
Cluster_2874,1
Cluster_2875,1
Cluster_2876,1
Cluster_2877,6
Cluster_2878,1
Cluster_2879,1
Cluster_288,1
Cluster_2880,1
Cluster_2881,2
Cluster_2882,1
Cluster_2883,1
Cluster_2884,39
Cluster_2885,11
Cluster_2886,4
Cluster_2887,1
Cluster_2888,9
Cluster_2889,75
Cluster_289,2
Cluster_2890,1
Cluster_2891,2
Cluster_2892,4
Cluster_2893,35
Cluster_2894,1
Cluster_2895,2
Cluster_2896,1
Cluster_2897,5
Cluster_2898,71
Cluster_2899,2
Cluster_29,52
Cluster_290,1
Cluster_2900,11
Cluster_2901,2
Cluster_2902,1
Cluster_2903,1
Cluster_2904,1
Cluster_2905,1
Cluster_2906,1
Cluster_2907,25
Cluster_2908,16
Cluster_2909,2
Cluster_291,3
Cluster_2910,1
Cluster_2911,1
Cluster_2912,1
Cluster_2913,1
Cluster_2914,1
Cluster_2915,1
Cluster_2916,1
Cluster_2917,2
Cluster_2918,2
Cluster_2919,28
Cluster_292,6
Cluster_2920,5
Cluster_2921,1
Cluster_2922,3
Cluster_2923,239
Cluster_2924,229
Cluster_2925,4
Cluster_2926,23
Cluster_2927,15
Cluster_2928,26
Cluster_2929,1
Cluster_293,3
Cluster_2930,1
Cluster_2931,1
Cluster_2932,48
Cluster_2933,12
Cluster_2934,2
Cluster_2935,2
Cluster_2936,1
Cluster_2937,5
Cluster_2938,1
Cluster_2939,1
Cluster_294,1
Cluster_2940,4
Cluster_2941,59
Cluster_2942,4
Cluster_2943,251
Cluster_2944,2
Cluster_2945,3
Cluster_2946,2
Cluster_2947,18
Cluster_2948,3
Cluster_2949,1
Cluster_295,145
Cluster_2950,1
Cluster_2951,8
Cluster_2952,1
Cluster_2953,4
Cluster_2954,6
Cluster_2955,3
Cluster_2956,1
Cluster_2957,5
Cluster_2958,1
Cluster_2959,1
Cluster_296,214
Cluster_2960,1
Cluster_2961,4
Cluster_2962,36
Cluster_2963,9
Cluster_2964,3
Cluster_2965,17
Cluster_2966,29
Cluster_2967,3
Cluster_2968,1
Cluster_2969,1
Cluster_297,1
Cluster_2970,1
Cluster_2971,1
Cluster_2972,1
Cluster_2973,1
Cluster_2974,699
Cluster_2975,1
Cluster_2976,962
Cluster_2977,31
Cluster_2978,251
Cluster_2979,2
Cluster_298,1778
Cluster_2980,13
Cluster_2981,1
Cluster_2982,1
Cluster_2983,2
Cluster_2984,1
Cluster_2985,11
Cluster_2986,12
Cluster_2987,1
Cluster_2988,1
Cluster_2989,1
Cluster_299,1
Cluster_2990,102
Cluster_2991,38
Cluster_2992,297
Cluster_2993,1
Cluster_2994,1
Cluster_2995,1
Cluster_2996,79
Cluster_2997,19
Cluster_2998,1
Cluster_2999,2
Cluster_3,1
Cluster_30,444
Cluster_300,1
Cluster_3000,1
Cluster_3001,1
Cluster_3002,1
Cluster_3003,1
Cluster_3004,1
Cluster_3005,7
Cluster_3006,145
Cluster_3007,2
Cluster_3008,3
Cluster_3009,1
Cluster_301,18
Cluster_3010,4
Cluster_3011,1
Cluster_3012,5
Cluster_3013,6
Cluster_3014,3
Cluster_3015,1
Cluster_3016,3
Cluster_3017,7
Cluster_3018,67
Cluster_3019,1
Cluster_302,50
Cluster_3020,1
Cluster_3021,1
Cluster_3022,1
Cluster_3023,1
Cluster_3024,490
Cluster_3025,2
Cluster_3026,5
Cluster_3027,2
Cluster_3028,1
Cluster_3029,3
Cluster_303,311
Cluster_3030,22
Cluster_3031,3
Cluster_3032,1
Cluster_3033,1
Cluster_3034,1
Cluster_3035,1
Cluster_3036,2
Cluster_3037,3
Cluster_3038,1
Cluster_3039,1
Cluster_304,6
Cluster_3040,348
Cluster_3041,1479
Cluster_3042,1
Cluster_3043,1
Cluster_3044,7
Cluster_3045,1
Cluster_3046,2
Cluster_3047,1
Cluster_3048,1
Cluster_3049,1
Cluster_305,76
Cluster_3050,30
Cluster_3051,11
Cluster_3052,1
Cluster_3053,9
Cluster_3054,10
Cluster_3055,2
Cluster_3056,16
Cluster_3057,6
Cluster_3058,4
Cluster_3059,1
Cluster_306,1
Cluster_3060,1
Cluster_3061,1
Cluster_3062,1
Cluster_3063,89
Cluster_3064,6
Cluster_3065,11
Cluster_3066,5
Cluster_3067,3
Cluster_3068,7
