species,trpS,gpmA,idi,artJ,gatC,ptsC,ulaA,cobO,leuA,leuB,mtnN,ubiX,proS,lacE,nagE,treP,rplN,rplX,argC,argD
Species_1727,1,1,1,1,1,0,1,1,0,0,2,1,1,0,0,0,1,1,1,1
Species_1693,1,0,0,0,1,0,1,1,0,0,2,0,1,1,0,0,1,1,1,1
Species_1685,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1
Species_5704,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Species_5697,1,0,1,1,2,0,1,0,1,1,1,1,1,0,0,1,0,0,0,2
Species_1726,1,1,1,1,1,0,0,2,0,0,1,1,1,0,0,1,1,1,1,1
Species_1136,1,0,0,0,1,1,1,1,1,1,2,0,1,2,0,1,1,1,1,1
Species_1715,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1
Species_1695,1,1,1,1,1,1,0,1,0,0,2,1,1,1,0,0,1,1,1,1
Species_1704,2,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1
Species_5268,1,1,0,1,1,0,0,1,1,1,2,0,0,1,0,1,1,1,0,0
Species_5702,0,1,1,0,1,0,1,1,0,0,1,0,1,3,0,0,1,1,1,0
Species_5267,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1
Species_1061,1,1,1,1,1,1,0,2,0,0,2,1,1,0,0,0,1,1,1,1
Species_5249,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,2,1
Species_1705,4,1,1,1,2,0,0,1,1,1,2,1,1,0,0,1,1,1,1,1
Species_1714,0,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,1,1,1,1
Species_1732,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1
Species_1709,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1
Species_1722,1,1,1,1,1,0,1,1,0,0,2,1,1,0,0,0,1,1,1,1
Species_1525,2,1,0,1,0,0,1,0,0,0,2,1,1,1,0,1,1,1,1,1
Species_4857,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
Species_5264,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1
Species_5142,1,1,1,1,0,0,1,1,0,0,2,0,0,0,0,1,1,1,1,1
Species_1720,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1
Species_1698,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1
Species_4906,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0
Species_5261,1,1,1,1,2,1,1,1,1,1,2,0,0,0,0,1,1,1,1,1
Species_1719,4,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1
Species_5260,1,0,1,1,1,0,0,0,0,1,2,1,1,0,0,0,0,0,1,0
Species_1724,1,0,1,1,1,0,1,1,1,1,2,1,1,0,0,0,1,1,1,1
Species_5145,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,2,0,1,1,1
Species_5262,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1
Species_5708,1,1,1,0,0,0,1,2,1,1,1,1,0,2,0,0,0,0,1,1
Species_1049,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1
Species_5250,1,1,1,1,1,0,1,1,0,0,2,1,1,1,0,0,1,1,0,1
Species_1718,1,1,1,1,1,0,1,1,2,1,1,1,1,1,0,1,1,1,1,1
Species_5246,1,0,0,0,1,0,0,1,1,1,2,1,1,2,0,0,1,0,0,1
Species_1093,1,0,1,1,1,0,1,1,0,0,2,1,1,0,0,0,1,1,1,1
Species_1716,1,1,0,1,1,1,0,1,1,1,2,0,1,2,0,1,1,1,1,1
Species_1703,1,0,1,1,1,1,1,1,0,0,2,1,1,0,0,0,1,1,1,1
Species_1692,1,1,0,0,1,1,1,1,1,1,2,0,1,2,1,1,1,1,1,1
Species_5272,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1
Species_1694,4,1,0,1,1,0,0,1,1,1,2,0,1,1,0,0,1,1,1,1
Species_5253,2,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1
Species_1074,1,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0
Species_5266,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,2,0
Species_1686,1,1,0,0,1,1,1,1,0,0,1,0,1,2,0,0,1,1,1,1
Species_5265,0,1,0,1,1,0,0,1,1,1,2,0,1,1,0,0,1,1,0,1
Species_1091,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1
Species_1708,1,1,1,1,1,0,1,1,2,1,1,1,1,0,0,1,1,1,1,0
Species_5706,0,1,1,1,1,0,1,1,1,0,2,1,2,0,0,0,0,0,0,1
Species_1731,1,1,0,1,3,0,1,1,1,1,2,0,1,0,0,0,1,1,1,1
Species_5252,0,1,1,1,1,0,0,0,0,0,1,1,1,3,0,0,0,0,1,1
Species_1728,1,1,1,1,1,1,1,1,0,0,2,1,1,0,0,0,1,1,1,1
Species_5695,1,0,1,0,1,0,0,1,1,1,2,2,1,1,0,0,0,0,1,1
Species_1733,1,1,1,1,1,0,0,1,1,1,1,1,1,2,1,0,1,1,1,1
Species_1729,2,1,1,1,1,0,0,1,1,1,2,1,1,2,0,0,1,1,1,1
Species_1697,3,0,1,1,1,1,1,1,0,0,2,1,1,3,0,0,1,1,1,1
Species_5245,1,0,1,1,1,0,0,1,0,0,0,1,1,2,0,0,1,1,1,1
Species_5707,2,1,1,1,1,0,0,1,1,1,1,1,1,0,0,2,0,0,1,1
Species_5254,0,1,0,0,1,0,1,0,0,0,2,1,1,0,0,1,1,1,1,1
Species_5251,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0
Species_5705,1,1,0,1,2,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1
Species_5247,1,0,1,1,1,0,1,1,2,1,1,1,1,1,0,1,0,0,0,1
Species_1701,1,1,0,1,1,0,1,1,1,1,2,1,1,0,0,0,1,1,1,0
Species_5248,2,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1
Species_1502,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1
Species_5244,2,0,1,0,1,0,1,1,0,0,2,0,1,0,0,0,1,1,1,1
Species_1711,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,1,1,1,1,1
Species_5257,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
Species_5270,1,1,0,1,1,1,0,1,0,1,2,0,1,1,0,1,1,1,1,1
Species_1085,1,0,1,1,2,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1
Species_1076,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,1,1,1,1
Species_1484,1,0,0,0,2,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1
Species_1696,1,1,1,0,1,0,0,1,0,0,2,1,1,0,0,0,1,1,1,1
Species_5258,1,0,0,1,1,0,0,1,1,1,1,0,0,2,0,0,1,1,0,1
Species_1527,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1
Species_1725,1,1,1,1,1,0,1,1,1,1,2,1,1,1,0,1,1,1,1,1
Species_1059,1,1,0,1,1,0,1,1,0,0,2,0,1,0,0,0,1,1,1,1
Species_5701,3,0,0,0,2,0,1,1,0,0,2,0,1,0,0,1,1,1,1,1
Species_1700,1,0,1,1,1,0,0,1,1,1,2,1,1,0,0,1,1,1,1,1
Species_5256,0,0,1,1,1,1,1,1,1,1,2,0,1,0,0,0,1,1,1,1
Species_5269,1,1,1,1,0,1,1,1,1,1,2,0,0,0,0,0,1,1,0,1
Species_1699,0,0,1,1,1,0,1,1,1,1,2,1,1,0,0,0,1,1,1,1
Species_1730,1,1,0,1,0,0,0,1,0,0,2,1,1,0,0,0,1,1,1,1
Species_1712,2,0,1,1,1,0,1,1,0,0,1,1,1,2,0,0,0,0,1,1
Species_1710,2,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1
Species_5141,1,1,0,0,1,0,0,1,1,1,2,0,1,0,0,0,1,1,1,1
Species_5243,1,0,0,1,1,0,0,1,0,0,1,0,0,2,0,1,1,1,1,1
Species_5271,1,1,1,1,1,1,1,1,2,0,0,1,1,1,0,1,1,1,1,1
Species_1706,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1
Species_5255,1,0,1,0,2,0,0,0,0,0,2,1,1,0,0,1,1,1,1,1
Species_1529,1,1,1,1,1,0,1,1,0,0,2,1,1,0,0,1,1,1,1,1
Species_5259,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0
Species_1717,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1
Species_1707,2,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1
Species_1702,1,1,1,0,1,0,1,1,1,1,2,1,1,0,0,0,1,1,1,1
Species_1723,1,2,1,0,1,1,0,1,1,1,2,1,1,0,0,0,1,1,1,1
Species_5677,1,0,0,0,1,0,0,1,0,0,1,0,1,3,0,1,1,1,1,1
Species_1214,1,0,0,0,1,0,0,1,0,0,1,0,1,3,0,1,1,1,1,1
Species_1017,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1
Species_5689,1,0,0,0,1,0,0,1,0,0,1,0,1,1,2,1,1,1,1,1
Species_5661,1,0,1,0,1,0,0,1,0,0,1,1,2,1,0,1,1,1,1,2
Species_1194,1,0,1,0,1,0,1,1,0,0,2,0,1,3,0,1,1,1,1,1
Species_1261,1,0,0,0,0,0,0,1,0,0,1,0,1,2,0,1,1,1,0,1
Species_1186,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,1,1,1,1,1
Species_1210,1,0,0,0,1,0,0,1,0,0,1,0,1,2,1,1,1,1,1,1
Species_1630,1,0,0,0,1,0,0,1,0,0,1,0,1,2,1,1,1,1,1,1
Species_5674,1,0,0,0,0,0,0,1,0,0,1,0,1,3,0,1,1,1,2,2
Species_5660,1,0,0,0,1,0,0,1,0,0,1,0,1,2,0,1,0,0,2,1
Species_1184,2,1,0,0,1,0,0,1,0,0,1,0,1,3,0,1,1,1,1,1
Species_996,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1
Species_5622,0,0,1,0,1,0,0,1,0,0,2,1,1,2,1,0,1,1,1,2
Species_5643,1,0,0,0,0,0,1,1,0,0,1,0,1,3,0,1,1,1,1,1
Species_1207,1,0,0,0,1,0,0,1,0,0,1,0,1,2,0,1,1,1,1,1
Species_1511,1,0,1,0,0,0,0,1,1,1,2,1,1,2,0,1,1,1,1,1
Species_5199,2,0,0,1,1,0,0,0,0,0,1,0,1,2,0,1,1,1,1,1
Species_5666,1,0,0,0,1,0,0,0,0,0,1,0,1,2,0,1,1,1,2,1
Species_1571,1,0,1,1,1,0,0,0,0,0,2,1,1,3,0,1,1,1,1,1
Species_5198,1,0,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1
Species_988,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1
Species_5670,0,0,0,0,1,0,0,1,0,0,1,0,0,2,2,1,1,1,1,1
Species_5680,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1
Species_1241,1,0,0,0,1,0,0,1,0,0,1,0,1,4,0,1,1,1,1,1
Species_1167,1,0,0,0,1,0,0,1,0,0,1,0,1,3,0,1,1,1,1,1
Species_989,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1
Species_5186,1,0,0,0,1,0,0,1,0,0,1,0,1,2,0,1,1,1,1,1
Species_1042,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1
Species_5683,1,1,0,0,1,0,0,1,0,0,1,0,1,2,0,1,1,1,1,2
Species_5632,1,0,0,0,1,0,0,1,0,0,0,0,2,3,0,1,1,1,1,1
Species_5623,0,0,1,0,1,0,0,1,0,0,0,1,1,3,1,1,1,1,1,2
Species_5663,1,0,0,0,1,0,0,1,0,0,1,0,0,3,0,1,1,1,1,1
Species_991,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1
Species_5176,1,0,0,0,2,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1
Species_995,1,0,0,0,1,1,1,1,0,0,1,0,1,3,0,1,1,1,1,1
Species_5633,1,1,0,0,1,0,0,1,0,0,1,0,0,2,1,1,1,1,1,1
Species_5652,1,0,0,0,1,0,0,1,0,0,0,0,1,3,0,1,1,1,1,1
Species_5678,0,0,1,0,0,0,0,1,0,0,1,1,0,3,0,1,1,0,1,1
Species_1624,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1
Species_5190,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1
Species_5628,0,1,0,0,1,0,0,0,0,0,1,0,1,3,0,1,1,1,1,1
Species_1233,1,0,0,0,1,0,0,1,0,0,2,0,1,2,1,1,1,1,1,1
Species_5688,1,2,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1
Species_1590,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1
Species_5649,0,0,0,0,1,0,1,1,0,0,1,0,2,1,0,1,1,1,1,1
Species_1247,1,0,0,0,1,0,0,1,0,0,1,0,1,2,1,1,1,1,1,1
Species_5691,1,0,0,0,0,0,0,0,1,1,1,0,1,2,0,1,1,1,0,0
Species_5200,1,0,0,0,1,0,0,0,0,0,1,0,2,2,0,2,0,0,1,1
Species_1195,1,0,0,0,1,0,0,1,0,0,1,0,1,3,0,1,1,1,1,2
Species_5634,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1
Species_5644,0,0,1,0,1,0,0,0,0,0,1,0,1,2,0,1,1,1,2,1
Species_1120,1,1,1,0,1,0,0,1,0,0,1,1,1,2,0,1,1,1,1,1
Species_1161,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Species_5635,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,1,1,1,1
Species_5690,0,0,0,0,1,0,0,1,0,0,1,0,1,3,0,1,1,1,2,1
Species_5631,1,0,1,0,1,0,0,1,0,0,1,0,2,2,0,1,0,0,1,2
Species_1220,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1
Species_5641,1,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,1,1,1,1
Species_5686,0,0,0,0,1,0,0,1,0,0,1,0,1,3,0,1,1,1,1,1
Species_1271,0,0,0,1,1,0,0,0,0,0,2,0,1,2,0,1,1,1,1,1
Species_1001,0,0,0,1,1,0,2,1,0,0,1,0,0,2,0,1,1,1,1,1
Species_1615,1,0,0,0,1,0,0,0,0,0,1,0,1,3,0,1,1,1,1,1
Species_5665,1,0,0,0,0,0,0,1,0,0,1,0,1,2,1,1,1,1,1,1
Species_5703,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1
Species_5675,0,0,1,0,1,0,1,0,0,0,1,0,3,3,1,1,2,2,1,2
Species_1537,1,1,0,0,1,0,1,0,0,0,1,0,2,4,0,1,1,1,1,1
Species_5664,1,1,1,0,1,0,0,1,0,0,2,1,1,3,0,1,1,1,1,1
Species_1641,1,1,1,0,1,0,1,1,0,0,1,0,1,2,0,1,1,1,1,1
Species_1626,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,2,1,1
Species_5657,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1
Species_1206,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1
Species_1047,1,0,1,1,1,0,0,1,1,1,2,1,2,1,0,1,1,1,1,1
Species_5687,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,2,1,1,1,1
Species_5646,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,1,1
Species_1231,1,0,1,0,1,0,0,0,0,0,1,1,1,2,0,1,1,1,1,1
Species_5637,1,1,0,0,1,0,0,0,0,0,1,0,1,2,1,1,1,1,1,1
Species_1030,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1
Species_1227,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1
Species_5667,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,2,1
Species_1123,1,1,1,1,1,0,0,1,1,0,0,1,1,3,0,1,1,1,1,1
Species_1180,1,0,0,0,1,0,0,1,0,0,1,0,1,2,0,1,1,1,1,1
Species_1211,1,0,0,0,1,0,0,1,0,0,1,0,1,3,1,1,0,0,1,1
Species_5197,1,0,0,0,0,0,0,1,0,0,1,0,1,2,0,1,1,1,1,1
Species_5651,1,0,0,0,1,0,0,0,0,0,1,0,1,2,0,1,1,1,1,1
Species_1196,1,0,0,0,0,0,1,1,0,0,0,0,1,2,0,1,1,1,1,0
Species_5684,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,1,1,1,1,2
Species_5710,1,1,1,0,1,0,1,1,0,0,1,1,1,2,0,1,1,1,1,2
Species_5132,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,1,1,1,1,1
Species_5653,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,1,1,1,1,1
Species_5647,1,0,0,0,0,0,0,1,0,0,1,0,1,3,0,1,1,1,1,1
Species_5187,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,1,1,1
Species_1504,1,1,1,1,1,0,0,1,1,1,1,1,1,2,0,2,1,1,2,1
Species_1197,1,0,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1
Species_1237,1,1,1,0,1,1,0,1,0,0,1,0,1,2,0,1,1,1,1,1
Species_1111,1,0,0,0,1,0,0,0,0,0,1,0,1,2,0,0,1,1,1,1
Species_5669,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,1,1,1,1,0
Species_1191,1,0,0,0,1,0,0,1,0,0,1,0,1,2,0,1,1,1,1,1
Species_1235,1,0,0,0,1,0,0,1,0,0,1,0,2,1,0,1,1,1,2,1
Species_5645,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
Species_1014,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1
Species_1019,1,0,1,0,0,0,0,1,0,0,1,1,2,2,0,1,1,1,1,1
Species_5679,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0
Species_5672,1,1,0,0,1,0,0,0,0,0,1,0,1,4,0,2,1,1,2,1
Species_1232,1,1,0,0,1,0,0,1,0,0,1,0,1,3,0,1,2,1,1,1
Species_1143,1,0,0,0,1,0,0,0,0,0,2,0,2,2,0,1,1,1,1,1
Species_5659,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,1,1,2,1
Species_1604,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1
Species_5676,0,0,0,0,1,0,1,1,0,0,0,0,1,2,1,1,1,1,1,1
Species_5671,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1
Species_1215,1,0,1,0,1,0,0,1,0,0,2,0,1,2,0,1,1,1,1,1
Species_5682,2,0,0,0,1,0,0,1,0,0,2,0,1,3,1,1,1,1,1,1
Species_1131,1,0,1,0,1,0,0,1,0,0,1,1,1,2,0,1,1,1,1,1
Species_1243,0,0,1,0,1,0,0,1,0,0,1,2,1,2,0,1,1,1,1,1
Species_5640,1,0,0,0,1,0,0,0,0,0,1,0,1,3,1,1,1,1,1,0
Species_1192,1,0,1,0,1,0,0,1,0,0,1,1,1,2,1,1,1,1,1,1
Species_1208,1,1,0,1,1,0,0,1,0,0,1,0,1,2,0,1,1,1,1,1
Species_5685,1,0,0,0,0,0,0,1,0,0,1,0,0,2,0,1,1,1,0,1
Species_5619,1,0,0,0,1,0,0,1,0,0,1,1,1,3,1,1,1,1,1,1
Species_5134,1,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1
Species_1201,1,0,0,0,1,0,0,1,0,0,1,0,1,3,0,1,1,1,1,1
Species_1137,1,0,0,0,0,0,0,1,0,0,1,0,1,2,0,1,1,1,1,1
Species_1222,1,1,1,0,1,0,0,1,0,0,1,1,1,3,1,1,1,1,1,1
Species_1212,1,1,0,0,1,0,0,1,0,0,1,0,1,2,1,1,1,1,1,1
Species_1183,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1
Species_1217,1,0,1,0,0,0,0,1,0,0,1,1,1,3,0,1,0,0,1,1
Species_5195,1,0,0,0,1,0,0,1,0,0,1,0,1,2,0,1,1,1,1,1
Species_5642,1,0,0,1,1,0,0,0,0,0,1,0,2,2,0,1,1,1,1,2
Species_1024,1,0,1,0,1,0,0,1,0,0,1,1,2,2,1,1,1,1,1,1
Species_5654,2,2,0,0,1,0,0,1,0,0,1,0,1,3,0,1,1,1,1,1
Species_1218,1,0,0,0,1,0,0,0,0,0,1,0,1,2,0,1,1,1,1,1
Species_5673,1,0,0,0,1,0,2,0,0,0,0,0,1,1,0,0,1,1,1,1
Species_1163,1,1,1,0,1,0,0,0,0,0,1,0,1,3,1,1,1,1,1,1
Species_5621,1,0,0,0,1,0,0,1,0,0,1,0,1,2,0,1,1,1,1,1
Species_5188,1,0,1,0,1,0,0,0,0,0,1,1,0,3,0,1,1,1,1,1
Species_5668,1,0,0,0,0,0,1,1,0,0,1,0,1,2,0,2,0,0,1,1
Species_5681,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1
Species_1259,1,0,0,0,1,1,0,0,0,0,2,0,1,4,0,1,1,1,1,1